"kwhTotal","dollars","chargeTimeHrs","distance","managerVehicle","facilityType","target"
"7.78","0.0","1.510555556","32.8745456","0","3","0.0"
"9.74","0.0","2.177222222","32.8745456","0","3","0.0"
"6.76","0.58","4.671666667","32.8745456","0","3","1.0"
"6.17","0.0","1.768333333","32.8745456","0","3","0.0"
"0.93","0.0","0.298611111","32.8745456","0","3","1.0"
"2.14","0.0","0.422222222","32.8745456","0","3","0.0"
"0.3","0.0","0.64","32.8745456","0","3","0.0"
"1.82","0.0","1.010833333","32.8745456","0","3","0.0"
"0.81","0.0","0.179166667","32.8745456","0","3","0.0"
"1.98","0.0","0.387777778","32.8745456","0","3","1.0"
"4.56","0.0","2.419444444","32.8745456","0","3","1.0"
"2.05","0.0","0.690833333","32.8745456","0","3","1.0"
"5.3","0.0","3.019444444","32.8745456","0","3","1.0"
"0.0","0.0","0.365","32.8745456","0","3","1.0"
"7.85","0.5","4.141111111","32.8745456","0","3","0.0"
"8.49","0.0","1.658055556","32.8745456","0","3","0.0"
"7.52","0.0","2.157222222","32.8745456","0","3","0.0"
"5.38","0.0","2.294166667","32.8745456","0","3","1.0"
"3.42","0.0","0.841944444","32.8745456","0","3","0.0"
"0.09","0.0","0.032222222","32.8745456","0","3","1.0"
"12.14","0.0","2.134166667","32.8745456","0","3","1.0"
"11.74","0.0","2.886111111","32.8745456","0","3","1.0"
"2.48","0.0","2.436944444","32.8745456","0","3","0.0"
"4.65","0.0","1.505555556","32.8745456","0","3","1.0"
"6.29","0.0","3.114722222","32.8745456","0","3","1.0"
"3.1","0.0","0.595833333","32.8745456","0","3","1.0"
"20.95","0.0","3.658333333","32.8745456","0","3","0.0"
"8.26","0.0","3.460555556","32.8745456","0","3","1.0"
"17.95","0.0","3.543611111","32.8745456","0","3","1.0"
"3.02","0.0","0.709722222","32.8745456","0","3","0.0"
"7.84","0.92","4.953055556","32.8745456","0","3","1.0"
"0.88","0.0","0.3475","32.8745456","0","3","0.0"
